Column,Analyzer,Result
Bwd Seg Size Avg,Min,0.0
Bwd Seg Size Avg,Max,33879.28358
Bwd Seg Size Avg,Mean,124.66830767779905
Bwd Seg Size Avg,Unique,169630
Bwd Seg Size Avg,Distinct,256784
Bwd Seg Size Avg,StandardDeviation,171.7214267479713
Bwd URG Flags,Min,0.0
Bwd URG Flags,Max,0.0
Bwd URG Flags,Mean,0.0
Bwd URG Flags,Unique,0
Bwd URG Flags,Distinct,1
Bwd URG Flags,StandardDeviation,0.0
CWE Flag Count,Min,0.0
CWE Flag Count,Max,1.0
CWE Flag Count,Mean,0.00010641683898531581
CWE Flag Count,Unique,0
CWE Flag Count,Distinct,2
CWE Flag Count,StandardDeviation,0.01031530486421493
Down/Up Ratio,Min,0.0
Down/Up Ratio,Max,311.0
Down/Up Ratio,Mean,0.5063134477958292
Down/Up Ratio,Unique,110
Down/Up Ratio,Distinct,338
Down/Up Ratio,StandardDeviation,1.0637686321977353
Dst Port,Min,0.0
Dst Port,Max,65535.0
Dst Port,Mean,10730.80044269405
Dst Port,Unique,530
Dst Port,Distinct,64693
Dst Port,StandardDeviation,20248.03862161498
ECE Flag Cnt,Min,0.0
ECE Flag Cnt,Max,1.0
ECE Flag Cnt,Mean,0.1789461069531502
ECE Flag Cnt,Unique,0
ECE Flag Cnt,Distinct,2
ECE Flag Cnt,StandardDeviation,0.38330718459149954
FIN Flag Cnt,Min,0.0
FIN Flag Cnt,Max,1.0
FIN Flag Cnt,Mean,0.00559722909832382
FIN Flag Cnt,Unique,0
FIN Flag Cnt,Distinct,2
FIN Flag Cnt,StandardDeviation,0.0746049604566928
Flow Byts/s,Min,0.0
Flow Byts/s,Max,inf
Flow Byts/s,Mean,nan
Flow Byts/s,Unique,5958598
Flow Byts/s,Distinct,6487851
Flow Byts/s,StandardDeviation,nan
Flow Duration,Min,-919011000000.0
Flow Duration,Max,120000000.0
Flow Duration,Mean,13453462.373821294
Flow Duration,Unique,3508303
Flow Duration,Distinct,4553849
Flow Duration,StandardDeviation,541971897.2047771
Flow IAT Max,Min,-828220000000.0
Flow IAT Max,Max,979781000000.0
Flow IAT Max,Mean,7315898.768491835
Flow IAT Max,Unique,2370429
Flow IAT Max,Distinct,3201027
Flow IAT Max,StandardDeviation,723585256.9733381
ALL,NumberOfRows,13484708
