Column,Analyzer,Result
ACK Flag Cnt,Min,0.0
ACK Flag Cnt,Max,1.0
ACK Flag Cnt,Mean,0.48695652173913045
ACK Flag Cnt,Unique,0
ACK Flag Cnt,Distinct,2
ACK Flag Cnt,StandardDeviation,0.49982983871999703
Active Max,Min,0.0
Active Max,Max,4000190.0
Active Max,Mean,69567.86086956522
Active Max,Unique,2
Active Max,Distinct,4
Active Max,StandardDeviation,522917.13545237714
Active Mean,Min,0.0
Active Mean,Max,4000190.0
Active Mean,Mean,69567.86086956522
Active Mean,Unique,2
Active Mean,Distinct,4
Active Mean,StandardDeviation,522917.13545237714
Active Min,Min,0.0
Active Min,Max,4000190.0
Active Min,Mean,69567.86086956522
Active Min,Unique,2
Active Min,Distinct,4
Active Min,StandardDeviation,522917.13545237714
Active Std,Min,0.0
Active Std,Max,0.0
Active Std,Mean,0.0
Active Std,Unique,0
Active Std,Distinct,1
Active Std,StandardDeviation,0.0
Bwd Blk Rate Avg,Min,0.0
Bwd Blk Rate Avg,Max,0.0
Bwd Blk Rate Avg,Mean,0.0
Bwd Blk Rate Avg,Unique,0
Bwd Blk Rate Avg,Distinct,1
Bwd Blk Rate Avg,StandardDeviation,0.0
Bwd Byts/b Avg,Min,0.0
Bwd Byts/b Avg,Max,0.0
Bwd Byts/b Avg,Mean,0.0
Bwd Byts/b Avg,Unique,0
Bwd Byts/b Avg,Distinct,1
Bwd Byts/b Avg,StandardDeviation,0.0
Bwd Header Len,Min,0.0
Bwd Header Len,Max,2192.0
Bwd Header Len,Mean,989.0608695652174
Bwd Header Len,Unique,5
Bwd Header Len,Distinct,9
Bwd Header Len,StandardDeviation,1042.6698446730625
Bwd IAT Max,Min,0.0
Bwd IAT Max,Max,5005224.0
Bwd IAT Max,Mean,567628.3434782609
Bwd IAT Max,Unique,112
Bwd IAT Max,Distinct,113
Bwd IAT Max,StandardDeviation,736537.1081816934
Bwd IAT Mean,Min,0.0
Bwd IAT Mean,Max,1783178.33333333
Bwd IAT Mean,Mean,286416.84100810735
Bwd IAT Mean,Unique,112
Bwd IAT Mean,Distinct,113
Bwd IAT Mean,StandardDeviation,324493.9794101275
Bwd IAT Min,Min,0.0
Bwd IAT Min,Max,2161.0
Bwd IAT Min,Mean,36.06956521739131
Bwd IAT Min,Unique,16
Bwd IAT Min,Distinct,36
Bwd IAT Min,StandardDeviation,162.31334278991685
Bwd IAT Std,Min,0.0
Bwd IAT Std,Max,2811172.09176321
Bwd IAT Std,Mean,243834.47788372578
Bwd IAT Std,Unique,112
Bwd IAT Std,Distinct,113
Bwd IAT Std,StandardDeviation,365807.40282125905
Bwd IAT Tot,Min,0.0
Bwd IAT Tot,Max,63031981.0
Bwd IAT Tot,Mean,27081749.42173913
Bwd IAT Tot,Unique,112
Bwd IAT Tot,Distinct,113
Bwd IAT Tot,StandardDeviation,28509601.928245053
Bwd PSH Flags,Min,0.0
Bwd PSH Flags,Max,0.0
Bwd PSH Flags,Mean,0.0
Bwd PSH Flags,Unique,0
Bwd PSH Flags,Distinct,1
