Column,Analyzer,Result
ACK Flag Cnt,Min,0.0
ACK Flag Cnt,Max,1.0
ACK Flag Cnt,Mean,0.7613015515763573
ACK Flag Cnt,Unique,0
ACK Flag Cnt,Distinct,2
ACK Flag Cnt,StandardDeviation,0.42628804715097085
Active Max,Min,0.0
Active Max,Max,0.0
Active Max,Mean,0.0
Active Max,Unique,0
Active Max,Distinct,1
Active Max,StandardDeviation,0.0
Active Mean,Min,0.0
Active Mean,Max,0.0
Active Mean,Mean,0.0
Active Mean,Unique,0
Active Mean,Distinct,1
Active Mean,StandardDeviation,0.0
Active Min,Min,0.0
Active Min,Max,0.0
Active Min,Mean,0.0
Active Min,Unique,0
Active Min,Distinct,1
Active Min,StandardDeviation,0.0
Active Std,Min,0.0
Active Std,Max,0.0
Active Std,Mean,0.0
Active Std,Unique,0
Active Std,Distinct,1
Active Std,StandardDeviation,0.0
Bwd Blk Rate Avg,Min,0.0
Bwd Blk Rate Avg,Max,0.0
Bwd Blk Rate Avg,Mean,0.0
Bwd Blk Rate Avg,Unique,0
Bwd Blk Rate Avg,Distinct,1
Bwd Blk Rate Avg,StandardDeviation,0.0
Bwd Byts/b Avg,Min,0.0
Bwd Byts/b Avg,Max,0.0
Bwd Byts/b Avg,Mean,0.0
Bwd Byts/b Avg,Unique,0
Bwd Byts/b Avg,Distinct,1
Bwd Byts/b Avg,StandardDeviation,0.0
Bwd Header Len,Min,0.0
Bwd Header Len,Max,92.0
Bwd Header Len,Mean,21.960257254975133
Bwd Header Len,Unique,0
Bwd Header Len,Distinct,2
Bwd Header Len,StandardDeviation,39.21850033788932
Bwd IAT Max,Min,0.0
Bwd IAT Max,Max,51630.0
Bwd IAT Max,Mean,2320.4317577535085
Bwd IAT Max,Unique,5355
Bwd IAT Max,Distinct,24440
Bwd IAT Max,StandardDeviation,5167.712766754025
Bwd IAT Mean,Min,0.0
Bwd IAT Mean,Max,21833.33333
Bwd IAT Mean,Mean,930.8729089284813
Bwd IAT Mean,Unique,8696
Bwd IAT Mean,Distinct,31674
Bwd IAT Mean,StandardDeviation,2173.4635724306618
Bwd IAT Min,Min,0.0
Bwd IAT Min,Max,4414.0
Bwd IAT Min,Mean,6.976634519512778
Bwd IAT Min,Unique,247
Bwd IAT Min,Distinct,629
Bwd IAT Min,StandardDeviation,26.463530399131216
Bwd IAT Std,Min,0.0
Bwd IAT Std,Max,28130.01167
Bwd IAT Std,Mean,1270.1639372574248
Bwd IAT Std,Unique,152589
Bwd IAT Std,Distinct,157488
Bwd IAT Std,StandardDeviation,2813.8978885803476
Bwd IAT Tot,Min,0.0
Bwd IAT Tot,Max,65500.0
Bwd IAT Tot,Mean,2792.6187267861205
Bwd IAT Tot,Unique,8696
Bwd IAT Tot,Distinct,31674
Bwd IAT Tot,StandardDeviation,6520.390717296958
Bwd PSH Flags,Min,0.0
Bwd PSH Flags,Max,0.0
Bwd PSH Flags,Mean,0.0
Bwd PSH Flags,Unique,0
Bwd PSH Flags,Distinct,1
Bwd PSH Flags,StandardDeviation,0.0
