Column,Analyzer,Result
Bwd Seg Size Avg,Min,0.0
Bwd Seg Size Avg,Max,324.0
Bwd Seg Size Avg,Mean,158.70079583053322
Bwd Seg Size Avg,Unique,0
Bwd Seg Size Avg,Distinct,7
Bwd Seg Size Avg,StandardDeviation,125.08911049413268
Bwd URG Flags,Min,0.0
Bwd URG Flags,Max,0.0
Bwd URG Flags,Mean,0.0
Bwd URG Flags,Unique,0
Bwd URG Flags,Distinct,1
Bwd URG Flags,StandardDeviation,0.0
CWE Flag Count,Min,0.0
CWE Flag Count,Max,0.0
CWE Flag Count,Mean,0.0
CWE Flag Count,Unique,0
CWE Flag Count,Distinct,1
CWE Flag Count,StandardDeviation,0.0
Down/Up Ratio,Min,0.0
Down/Up Ratio,Max,1.0
Down/Up Ratio,Mean,0.3937313289004529
Down/Up Ratio,Unique,0
Down/Up Ratio,Distinct,2
Down/Up Ratio,StandardDeviation,0.48857647256364717
Dst Port,Min,80.0
Dst Port,Max,80.0
Dst Port,Mean,80.0
Dst Port,Unique,0
Dst Port,Distinct,1
Dst Port,StandardDeviation,0.0
ECE Flag Cnt,Min,0.0
ECE Flag Cnt,Max,0.0
ECE Flag Cnt,Mean,0.0
ECE Flag Cnt,Unique,0
ECE Flag Cnt,Distinct,1
ECE Flag Cnt,StandardDeviation,0.0
FIN Flag Cnt,Min,0.0
FIN Flag Cnt,Max,1.0
FIN Flag Cnt,Mean,2.4091741351064854e-05
FIN Flag Cnt,Unique,1
FIN Flag Cnt,Distinct,2
FIN Flag Cnt,StandardDeviation,0.004908274741603563
Flow Byts/s,Min,0.0
Flow Byts/s,Max,22333333.3333333
Flow Byts/s,Mean,1534.9729152889893
Flow Byts/s,Unique,27764
Flow Byts/s,Distinct,27769
Flow Byts/s,StandardDeviation,109675.94346731996
Flow Duration,Min,21.0
Flow Duration,Max,113661903.0
Flow Duration,Mean,11233440.509347595
Flow Duration,Unique,38978
Flow Duration,Distinct,40156
Flow Duration,StandardDeviation,17136235.105706252
Flow IAT Max,Min,21.0
Flow IAT Max,Max,111383938.0
Flow IAT Max,Mean,9817953.327045389
Flow IAT Max,Unique,32670
Flow IAT Max,Distinct,35899
Flow IAT Max,StandardDeviation,16684302.439276708
ALL,NumberOfRows,41508
