Column,Analyzer,Result
ACK Flag Cnt,Min,0.0
ACK Flag Cnt,Max,0.0
ACK Flag Cnt,Mean,0.0
ACK Flag Cnt,Unique,0
ACK Flag Cnt,Distinct,1
ACK Flag Cnt,StandardDeviation,0.0
Active Max,Min,0.0
Active Max,Max,0.0
Active Max,Mean,0.0
Active Max,Unique,0
Active Max,Distinct,1
Active Max,StandardDeviation,0.0
Active Mean,Min,0.0
Active Mean,Max,0.0
Active Mean,Mean,0.0
Active Mean,Unique,0
Active Mean,Distinct,1
Active Mean,StandardDeviation,0.0
Active Min,Min,0.0
Active Min,Max,0.0
Active Min,Mean,0.0
Active Min,Unique,0
Active Min,Distinct,1
Active Min,StandardDeviation,0.0
Active Std,Min,0.0
Active Std,Max,0.0
Active Std,Mean,0.0
Active Std,Unique,0
Active Std,Distinct,1
Active Std,StandardDeviation,0.0
Bwd Blk Rate Avg,Min,0.0
Bwd Blk Rate Avg,Max,0.0
Bwd Blk Rate Avg,Mean,0.0
Bwd Blk Rate Avg,Unique,0
Bwd Blk Rate Avg,Distinct,1
Bwd Blk Rate Avg,StandardDeviation,0.0
Bwd Byts/b Avg,Min,0.0
Bwd Byts/b Avg,Max,0.0
Bwd Byts/b Avg,Mean,0.0
Bwd Byts/b Avg,Unique,0
Bwd Byts/b Avg,Distinct,1
Bwd Byts/b Avg,StandardDeviation,0.0
Bwd Header Len,Min,20.0
Bwd Header Len,Max,20.0
Bwd Header Len,Mean,20.0
Bwd Header Len,Unique,0
Bwd Header Len,Distinct,1
Bwd Header Len,StandardDeviation,0.0
Bwd IAT Max,Min,0.0
Bwd IAT Max,Max,0.0
Bwd IAT Max,Mean,0.0
Bwd IAT Max,Unique,0
Bwd IAT Max,Distinct,1
Bwd IAT Max,StandardDeviation,0.0
Bwd IAT Mean,Min,0.0
Bwd IAT Mean,Max,0.0
Bwd IAT Mean,Mean,0.0
Bwd IAT Mean,Unique,0
Bwd IAT Mean,Distinct,1
Bwd IAT Mean,StandardDeviation,0.0
Bwd IAT Min,Min,0.0
Bwd IAT Min,Max,0.0
Bwd IAT Min,Mean,0.0
Bwd IAT Min,Unique,0
Bwd IAT Min,Distinct,1
Bwd IAT Min,StandardDeviation,0.0
Bwd IAT Std,Min,0.0
Bwd IAT Std,Max,0.0
Bwd IAT Std,Mean,0.0
Bwd IAT Std,Unique,0
Bwd IAT Std,Distinct,1
Bwd IAT Std,StandardDeviation,0.0
Bwd IAT Tot,Min,0.0
Bwd IAT Tot,Max,0.0
Bwd IAT Tot,Mean,0.0
Bwd IAT Tot,Unique,0
Bwd IAT Tot,Distinct,1
Bwd IAT Tot,StandardDeviation,0.0
Bwd PSH Flags,Min,0.0
Bwd PSH Flags,Max,0.0
Bwd PSH Flags,Mean,0.0
Bwd PSH Flags,Unique,0
Bwd PSH Flags,Distinct,1
Bwd PSH Flags,StandardDeviation,0.0
Bwd Pkt Len Max,Min,0.0
Bwd Pkt Len Max,Max,0.0
Bwd Pkt Len Max,Mean,0.0
Bwd Pkt Len Max,Unique,0
Bwd Pkt Len Max,Distinct,1
Bwd Pkt Len Max,StandardDeviation,0.0
Bwd Pkt Len Mean,Min,0.0
Bwd Pkt Len Mean,Max,0.0
Bwd Pkt Len Mean,Mean,0.0
Bwd Pkt Len Mean,Unique,0
Bwd Pkt Len Mean,Distinct,1
Bwd Pkt Len Mean,StandardDeviation,0.0
Bwd Pkt Len Min,Min,0.0
Bwd Pkt Len Min,Max,0.0
Bwd Pkt Len Min,Mean,0.0
Bwd Pkt Len Min,Unique,0
Bwd Pkt Len Min,Distinct,1
Bwd Pkt Len Min,StandardDeviation,0.0
Bwd Pkt Len Std,Min,0.0
Bwd Pkt Len Std,Max,0.0
Bwd Pkt Len Std,Mean,0.0
Bwd Pkt Len Std,Unique,0
Bwd Pkt Len Std,Distinct,1
Bwd Pkt Len Std,StandardDeviation,0.0
Bwd Pkts/b Avg,Min,0.0
Bwd Pkts/b Avg,Max,0.0
Bwd Pkts/b Avg,Mean,0.0
Bwd Pkts/b Avg,Unique,0
Bwd Pkts/b Avg,Distinct,1
Bwd Pkts/b Avg,StandardDeviation,0.0
Bwd Pkts/s,Min,0.0
Bwd Pkts/s,Max,1000000.0
Bwd Pkts/s,Mean,594561.8051710402
Bwd Pkts/s,Unique,1
Bwd Pkts/s,Distinct,54
Bwd Pkts/s,StandardDeviation,318701.24843416776
Bwd Seg Size Avg,Min,0.0
Bwd Seg Size Avg,Max,0.0
Bwd Seg Size Avg,Mean,0.0
Bwd Seg Size Avg,Unique,0
Bwd Seg Size Avg,Distinct,1
Bwd Seg Size Avg,StandardDeviation,0.0
Bwd URG Flags,Min,0.0
Bwd URG Flags,Max,0.0
Bwd URG Flags,Mean,0.0
Bwd URG Flags,Unique,0
Bwd URG Flags,Distinct,1
Bwd URG Flags,StandardDeviation,0.0
CWE Flag Count,Min,0.0
CWE Flag Count,Max,0.0
CWE Flag Count,Mean,0.0
CWE Flag Count,Unique,0
CWE Flag Count,Distinct,1
CWE Flag Count,StandardDeviation,0.0
Down/Up Ratio,Min,1.0
Down/Up Ratio,Max,1.0
Down/Up Ratio,Mean,1.0
Down/Up Ratio,Unique,0
Down/Up Ratio,Distinct,1
Down/Up Ratio,StandardDeviation,0.0
Dst Port,Min,21.0
Dst Port,Max,21.0
Dst Port,Mean,21.0
Dst Port,Unique,0
Dst Port,Distinct,1
Dst Port,StandardDeviation,0.0
