Column,Analyzer,Result
Pkt Len Max,Min,0.0
Pkt Len Max,Max,0.0
Pkt Len Max,Mean,0.0
Pkt Len Max,Unique,0
Pkt Len Max,Distinct,1
Pkt Len Max,StandardDeviation,0.0
Pkt Len Mean,Min,0.0
Pkt Len Mean,Max,0.0
Pkt Len Mean,Mean,0.0
Pkt Len Mean,Unique,0
Pkt Len Mean,Distinct,1
Pkt Len Mean,StandardDeviation,0.0
Pkt Len Min,Min,0.0
Pkt Len Min,Max,0.0
Pkt Len Min,Mean,0.0
Pkt Len Min,Unique,0
Pkt Len Min,Distinct,1
Pkt Len Min,StandardDeviation,0.0
Pkt Len Std,Min,0.0
Pkt Len Std,Max,0.0
Pkt Len Std,Mean,0.0
Pkt Len Std,Unique,0
Pkt Len Std,Distinct,1
Pkt Len Std,StandardDeviation,0.0
Pkt Len Var,Min,0.0
Pkt Len Var,Max,0.0
Pkt Len Var,Mean,0.0
Pkt Len Var,Unique,0
Pkt Len Var,Distinct,1
Pkt Len Var,StandardDeviation,0.0
Pkt Size Avg,Min,0.0
Pkt Size Avg,Max,0.0
Pkt Size Avg,Mean,0.0
Pkt Size Avg,Unique,0
Pkt Size Avg,Distinct,1
Pkt Size Avg,StandardDeviation,0.0
Protocol,Min,6.0
Protocol,Max,6.0
Protocol,Mean,6.0
Protocol,Unique,0
Protocol,Distinct,1
Protocol,StandardDeviation,0.0
RST Flag Cnt,Min,0.0
RST Flag Cnt,Max,0.0
RST Flag Cnt,Mean,0.0
RST Flag Cnt,Unique,0
RST Flag Cnt,Distinct,1
RST Flag Cnt,StandardDeviation,0.0
SYN Flag Cnt,Min,0.0
SYN Flag Cnt,Max,0.0
SYN Flag Cnt,Mean,0.0
SYN Flag Cnt,Unique,0
SYN Flag Cnt,Distinct,1
SYN Flag Cnt,StandardDeviation,0.0
Subflow Bwd Byts,Min,0.0
Subflow Bwd Byts,Max,0.0
Subflow Bwd Byts,Mean,0.0
Subflow Bwd Byts,Unique,0
Subflow Bwd Byts,Distinct,1
Subflow Bwd Byts,StandardDeviation,0.0
ALL,NumberOfRows,193360
