Column,Analyzer,Result
Label,ComplianceBenign,13484708
Label,ComplianceInfilteration,161934
Label,ComplianceSQLInjection,87
Label,ComplianceBot,286191
Label,ComplianceBruteForce-Web,611
Label,ComplianceBruteForce-XSS,230
Label,ComplianceFTP-BruteForce,193360
Label,ComplianceSSH-BruteForce,187589
Label,ComplianceDDOSAttack-HOIC,686012
Label,ComplianceDDOSAttack-LOIC-UDP,1730
Label,ComplianceDDoSAttacks-LOIC-HTTP,576191
Label,ComplianceDoSAttacks-Hulk,461912
Label,ComplianceDoSAttacks-SlowHTTPTest,139890
Label,ComplianceDoSAttacks-Slowloris,10990
Label,ComplianceDoSAttacks-GoldenEye,41508
Label,Distinct,15
ALL,NumberOfRows,16232943
