Column,Analyzer,Result
ACK Flag Cnt,Min,0.0
ACK Flag Cnt,Max,1.0
ACK Flag Cnt,Mean,0.3216631054602735
ACK Flag Cnt,StandardDeviation,0.4671144956495425
Active Max,Min,0.0
Active Max,Max,114000000.0
Active Max,Mean,299434.96374546096
Active Max,StandardDeviation,3670155.547890424
Active Mean,Min,0.0
Active Mean,Max,114000000.0
Active Mean,Mean,196824.60422726048
Active Mean,StandardDeviation,2768638.3027720526
Active Min,Min,0.0
Active Min,Max,114000000.0
Active Min,Mean,129114.72621396993
Active Min,StandardDeviation,2331363.036726378
Active Std,Min,0.0
Active Std,Max,75232413.85230836
Active Std,Mean,101371.94767026561
Active Std,StandardDeviation,1680436.04801312
Bwd Header Len,Min,0.0
Bwd Header Len,Max,2462372.0
Bwd Header Len,Mean,134.82084077326178
Bwd Header Len,StandardDeviation,3403.5375985500987
Bwd IAT Max,Min,0.0
Bwd IAT Max,Max,120000000.0
Bwd IAT Max,Mean,2785829.1235635947
Bwd IAT Max,StandardDeviation,10670610.679956341
Bwd IAT Mean,Min,0.0
Bwd IAT Mean,Max,120000000.0
Bwd IAT Mean,Mean,887475.3687390655
Bwd IAT Mean,StandardDeviation,4593359.2915637335
Bwd IAT Min,Min,0.0
Bwd IAT Min,Max,120000000.0
Bwd IAT Min,Mean,322924.0657915812
Bwd IAT Min,StandardDeviation,4084333.19318901
Bwd IAT Std,Min,0.0
Bwd IAT Std,Max,84837189.5109486
Bwd IAT Std,Mean,901569.3646372986
Bwd IAT Std,StandardDeviation,3507447.209669783
Bwd IAT Tot,Min,0.0
Bwd IAT Tot,Max,120000000.0
Bwd IAT Tot,Mean,8139569.611575902
Bwd IAT Tot,StandardDeviation,26881081.939909644
Bwd Pkt Len Max,Min,0.0
Bwd Pkt Len Max,Max,65160.0
Bwd Pkt Len Max,Mean,355.5838401519886
Bwd Pkt Len Max,StandardDeviation,500.09984655202646
Bwd Pkt Len Mean,Min,0.0
Bwd Pkt Len Mean,Max,33879.28358
Bwd Pkt Len Mean,Mean,116.79423726493327
Bwd Pkt Len Mean,StandardDeviation,166.84885976241722
Bwd Pkt Len Min,Min,0.0
Bwd Pkt Len Min,Max,1460.0
Bwd Pkt Len Min,Mean,27.80186999527808
Bwd Pkt Len Min,StandardDeviation,51.717818419760334
Bwd Pkt Len Std,Min,0.0
Bwd Pkt Len Std,Max,21326.2385
Bwd Pkt Len Std,Mean,134.24852854836158
Bwd Pkt Len Std,StandardDeviation,207.76602601369643
Bwd Pkts/s,Min,0.0
Bwd Pkts/s,Max,2000000.0
Bwd Pkts/s,Mean,15376.588809985278
Bwd Pkts/s,StandardDeviation,92845.03167947817
Bwd Seg Size Avg,Min,0.0
Bwd Seg Size Avg,Max,33879.28358
Bwd Seg Size Avg,Mean,116.79423726493341
Bwd Seg Size Avg,StandardDeviation,166.84885976241833
CWE Flag Count,Min,0.0
CWE Flag Count,Max,1.0
CWE Flag Count,Mean,0.00018712119508685964
CWE Flag Count,StandardDeviation,0.013677945048332696
Down/Up Ratio,Min,0.0
