Column,Analyzer,Result
Label,ComplianceBenign,10787690
Label,ComplianceInfilteration,129529
Label,ComplianceSQLInjection,67
Label,ComplianceBot,228951
Label,ComplianceBruteForce-Web,486
Label,ComplianceBruteForce-XSS,181
Label,ComplianceFTP-BruteForce,154687
Label,ComplianceSSH-BruteForce,150070
Label,ComplianceDDOSAttack-HOIC,548808
Label,ComplianceDDOSAttack-LOIC-UDP,1383
Label,ComplianceDDoSAttacks-LOIC-HTTP,460951
Label,ComplianceDoSAttacks-Hulk,369528
Label,ComplianceDoSAttacks-SlowHTTPTest,111909
Label,ComplianceDoSAttacks-Slowloris,8791
Label,ComplianceDoSAttacks-GoldenEye,33205
Label,Distinct,15
ALL,NumberOfRows,12986236
